Provincia,Cuenca,Subcuenca,Codigo_cue,ID_local,Tipo_geofo,Nombre_com,Clas_prima,Forma,Frente,Perf_long,Fuente_ali,Act_lengua,Morena_1,Morena_2,Cob_lengua,Origen_GE,Act_GE,Forma_GE,Estruct_I,Estruct_II,Longitud,Latitud,Area,Largo_tota,H_max_tota,H_media_to,H_min_tota,Pendiente,Orientacio,H_max_parc,H_media_pa,H_min_parc,Img_ba_F,Img_ba_S,Img_ap_F,Img_ap_S
Catamarca,Varias de la Puna,Antofagasta de las Sierras,K0830000,G670333O263768S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-13,SENTINEL-2,,
Catamarca,Varias de la Puna,Antofagasta de las Sierras,K0830000,G670552O265877S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-13,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G687787O277928S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G687996O277880S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G687819O278222S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G687510O279239S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G687591O279553S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G687435O279031S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G689038O279506S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G688903O279540S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G688850O279557S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G689370O280583S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G689825O283438S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G690118O283042S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G690054O283042S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G690074O283082S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G689747O283565S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,SENTINEL-2,,
La Rioja,R. Vinchina-Bermejo,R. Vinchina-Bermejo,F0520000,G688818O279025S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
La Rioja,Varias de Velazco,Varias de Velazco,F0890000,G678106O290197S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-02,SENTINEL-2,,
La Rioja,Varias de Velazco,Varias de Velazco,F0890000,G678117O290172S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-02,SENTINEL-2,,
La Rioja,R. Jáchal,R. Blanco Superior,F0530000,G688569O277719S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-18,SENTINEL-2,,
San Juan,R. Jáchal,R. Blanco Superior,J0530000,G696462O285593S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
San Juan,R. Jáchal,R. Blanco Superior,J0530000,G696407O285619S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
San Juan,R. Jáchal,R. Blanco Superior,J0530000,G696208O285675S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
La Rioja,R. Jáchal,R. Blanco Superior,F0530000,G689171O278389S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-25,SENTINEL-2,,
La Rioja,R. Jáchal,R. Blanco Superior,F0530000,G689635O280570S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,SENTINEL-2,,
La Rioja,R. Jáchal,R. Blanco Superior,F0530000,G693917O282331S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
La Rioja,R. Jáchal,R. Blanco Superior,F0530000,G695126O283264S,ND,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,SENTINEL-2,,
